	mt	wt	WW1	WD1
GRMZM5G872008	0	0	0	0
GRMZM2G029527	2.76033	3.63838	3.63838	2.76033
GRMZM2G521967	0.54588	0.910068	0.910068	0.54588
GRMZM2G032222	27.9096	13.831	13.831	27.9096
GRMZM2G346263	1.59381	2.25259	2.25259	1.59381
GRMZM2G107922	0	0	0	0
GRMZM2G077320	5.12191	3.09562	3.09562	5.12191
GRMZM2G165044	9.28802	20.3278	20.3278	9.28802
GRMZM2G542753	0.0614144	0.0263421	0.0263421	0.0614144
GRMZM2G112210	0	1.3674	1.3674	0
GRMZM2G072589	0.0271902	0.0356161	0.0356161	0.0271902
AC210013.4_FG006	0	0.105341	0.105341	0
GRMZM6G829104	13.5231	21.7508	21.7508	13.5231
GRMZM2G497870	0	0	0	0
GRMZM2G061704	2.95974	2.15986	2.15986	2.95974
GRMZM2G128376	0	0.0402732	0.0402732	0
GRMZM2G111472	13.8918	14.0743	14.0743	13.8918
GRMZM2G071808	0	0	0	0
GRMZM2G008482	0.0346634	0.235776	0.235776	0.0346634
GRMZM2G059052	0.513187	0.450759	0.450759	0.513187
GRMZM5G895282	48.945	52.6411	52.6411	48.945
GRMZM2G096713	0	1.75762	1.75762	0
GRMZM2G116902	0	0	0	0
GRMZM2G703265	0	0	0	0
AC217295.3_FG005	0	0.3068	0.3068	0
GRMZM2G366313	4.6477	3.43215	3.43215	4.6477
GRMZM2G057942	31.2909	31.066	31.066	31.2909
GRMZM2G144158	0.507961	1.02895	1.02895	0.507961
AC204015.3_FG006	0	0	0	0
GRMZM2G082683	8.53474	5.04251	5.04251	8.53474
AC234185.1_FG005	0.0475958	0.0362603	0.0362603	0.0475958
AC217351.3_FG010	0	0	0	0
GRMZM2G157164	0	0	0	0
GRMZM2G007277	2.59194	5.35396	5.35396	2.59194
GRMZM2G103599	41.7756	29.4781	29.4781	41.7756
GRMZM2G038542	0	0	0	0
GRMZM2G701288	0.0157011	0	0	0.0157011
GRMZM2G174479	81.2836	74.7315	74.7315	81.2836
GRMZM2G108153	0	0	0	0
GRMZM2G081907	1.10604	0.958712	0.958712	1.10604
GRMZM2G134550	11.8974	7.15952	7.15952	11.8974
GRMZM5G852329	194.295	42.744	42.744	194.295
GRMZM2G042143	22.5415	14.9651	14.9651	22.5415
